Longitude,Latitude,County,Sub-County,Ward,Locality,Species examined,Production System,RVF,RP,PPR,FMD,CCPP,CBPP,Avian Influenza
34.7521049,-0.1072713,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520887,-0.1073197,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520836,-0.1072877,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520891,-0.1073056,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520893,-0.1073051,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34.7520885,-0.1072982,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.75208,-0.107328,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520874,-0.1073073,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520884,-0.1073168,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520876,-0.1073179,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520991,-0.1072782,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520916,-0.1072555,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520723,-0.1072592,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7520848,-0.1072883,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7521008,-0.1072807,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520867,-0.1073032,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.752088,-0.1072854,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520918,-0.1073134,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7520928,-0.1072846,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520885,-0.1072999,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520968,-0.1072853,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520964,-0.1072984,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520964,-0.1072984,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520964,-0.1072984,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7520935,-0.1073115,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520938,-0.1073124,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34.7521012,-0.1073132,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Cattle,Intensive,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520898,-0.1073165,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Cattle,Intensive,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520896,-0.1073161,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Cattle,Intensive,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520971,-0.1073019,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520966,-0.1073021,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520886,-0.1073168,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520883,-0.1073189,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7520966,-0.1072956,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7521054,-0.1072704,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7521051,-0.1072711,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7521051,-0.1072711,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520148,-0.1073088,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Extensive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34.7520502,-0.1072393,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520888,-0.1073198,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7521312,-0.1072484,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520886,-0.1073185,Migori,Kuria West,Isibania,Crush,Cattle,Mixed,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520874,-0.1073185,Migori,Kuria West,Isibania,Crush,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.7527164,-0.1065611,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Cattle,Intensive,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520878,-0.1073197,Migori,Kuria West,Isibania,Crush,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.752092,-0.1073143,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520964,-0.1073238,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7521077,-0.1072827,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520965,-0.1072821,Homa Bay,Mbita,Rusinga Island,Village/Farm,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
35.2740461,-0.6395554,Bomet,Sotik,Kapletundo,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.752087,-0.1073209,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520877,-0.1073,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7521044,-0.1072904,Kisii,Bonchari,Bomorenda,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520843,-0.1072797,Kisii,Bonchari,Bomorenda,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520916,-0.1073106,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7521007,-0.1072793,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520877,-0.1073175,Kisii,Nyaribari Chache,Birongo,Village/Farm,Cattle,Unknown,No,No,Unknown,No,Unknown,No,Unknown
34.7521005,-0.1072795,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520966,-0.1072826,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520874,-0.1073177,Homa Bay,Mbita,Rusinga Island,Village/Farm,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.7520796,-0.107289,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
0.0,0.0,Kisii,Bonchari,Bomorenda,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.752095,-0.1072996,Kisii,Bonchari,Bomorenda,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520958,-0.1072969,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520876,-0.1073213,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.752088,-0.1073174,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520929,-0.1073076,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.752096,-0.1072997,Kisii,Bonchari,Bomorenda,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
38.0156874,-2.5080509,Makueni,Kibwezi East,Thange,Market,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520997,-0.1072996,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520877,-0.1073176,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520922,-0.1073086,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520913,-0.1073088,Homa Bay,Mbita,Rusinga Island,Village/Farm,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.752087,-0.1073179,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.754916,-0.1082892,Migori,Kuria West,Isibania,Crush,Camel,Mixed,No,Unknown,Unknown,No,Unknown,Unknown,Unknown
34.7524987,-0.1068509,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.752076,-0.1072716,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520834,-0.1072801,Homa Bay,Mbita,Rusinga Island,Village/Farm,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.7520751,-0.1072831,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.752844,-0.1063699,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520839,-0.1072803,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7524987,-0.1068509,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.752844,-0.1063699,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7520959,-0.1072994,Kisii,Bonchari,Bomorenda,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520842,-0.1072804,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520875,-0.1073078,Kisii,Bonchari,Bomorenda,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520799,-0.1072692,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7520804,-0.1072886,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520756,-0.107254,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.7520875,-0.1073178,Kisii,Bonchari,Bomorenda,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520872,-0.1073186,Kisii,Bonchari,Bomorenda,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520886,-0.107321,Kisii,Nyaribari Chache,Birongo,Village/Farm,Cattle,Intensive,No,No,Unknown,No,Unknown,No,Unknown
34.7520919,-0.1073146,Migori,Kuria West,Isibania,Crush,Cattle,Mixed,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7521005,-0.1072794,Migori,Kuria West,Isibania,Village/Farm,Cattle,Mixed,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520882,-0.1073217,Migori,Kuria West,Isibania,Crush,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.7520887,-0.1073199,Migori,Kuria West,Isibania,Crush,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520881,-0.1073212,Migori,Kuria West,Isibania,Crush,Camel,Mixed,No,Unknown,Unknown,No,Unknown,Unknown,Unknown
34.7521016,-0.1072793,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7521047,-0.1072905,Migori,Kuria West,Isibania,Village/Farm,Sheep,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34.7521054,-0.1072912,Migori,Kuria West,Isibania,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7521055,-0.1072911,Migori,Kuria West,Isibania,Village/Farm,Camel,Mixed,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34.7521058,-0.1072917,Migori,Kuria West,Isibania,Village/Farm,Cattle,Mixed,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520928,-0.1072817,Migori,Kuria West,Isibania,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.752081,-0.1072871,Migori,Kuria West,Isibania,Village/Farm,Camel,Mixed,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34.7520852,-0.1072561,Migori,Kuria West,Isibania,Village/Farm,Cattle,Mixed,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520881,-0.1072997,Kisii,Bonchari,Bomorenda,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520641,-0.1072227,Homa Bay,Mbita,Rusinga Island,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520595,-0.1072382,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520667,-0.1072396,Homa Bay,Mbita,Rusinga Island,Village/Farm,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.7520671,-0.107212,Homa Bay,Mbita,Rusinga Island,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520884,-0.1073055,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7521162,-0.1072912,Kisii,Nyaribari Chache,Birongo,Village/Farm,Cattle,Unknown,No,No,Unknown,No,Unknown,No,Unknown
39.1603826,-3.759865,Kwale,Kinango,Mackinnon Road,Village/Farm,Chicken,Extensive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.754916,-0.1082892,Migori,Kuria West,Isibania,Crush,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.754916,-0.1082892,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.754916,-0.1082892,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.754916,-0.1082892,Migori,Kuria West,Isibania,Crush,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.754916,-0.1082892,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.754916,-0.1082892,Migori,Kuria West,Isibania,Crush,Cattle,Mixed,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520882,-0.1073161,Kisii,Nyaribari Chache,Birongo,Village/Farm,Cattle,Unknown,No,No,Unknown,No,Unknown,No,Unknown
34.7520969,-0.1072964,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7520869,-0.1073215,Kisii,Nyaribari Chache,Bobaracho,Village/Farm,Cattle,Intensive,No,No,Unknown,No,Unknown,No,Unknown
34.7521055,-0.1072944,Migori,Nyatike,Got Kachola,Village/Farm,Cattle,Mixed,Unknown,No,Unknown,No,Unknown,No,Unknown
34.7521049,-0.1072911,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520891,-0.1073081,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
37.34184666666667,-1.90099,Makueni,Kilome,Kasikeu,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
37.2585299,-1.854735,Makueni,Kilome,Kasikeu,Crush,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520878,-0.1073211,Homa Bay,Mbita,Rusinga Island,Village/Farm,Sheep,Mixed,No,Unknown,No,No,Unknown,Unknown,Unknown
34.752096,-0.1073003,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Chicken,Intensive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7520992,-0.1073145,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Cattle,Intensive,No,No,Unknown,Unknown,Unknown,No,Unknown
34.752088,-0.1073201,Homa Bay,Mbita,Rusinga Island,Village/Farm,Goats,Mixed,No,Unknown,No,No,No,Unknown,Unknown
34.7520885,-0.1073182,Migori,Nyatike,Got Kachola,Village/Farm,Sheep,Mixed,Unknown,Unknown,No,No,Unknown,Unknown,Unknown
34.752844,-0.1061297,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Chicken,Intensive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.752844,-0.1061297,Homa Bay,Karachuonyo,Kibiri,Village/Farm,Cattle,Intensive,No,No,Unknown,Unknown,Unknown,No,Unknown
34.7520847,-0.1072884,Migori,Nyatike,Got Kachola,Village/Farm,Chicken,Mixed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7666561,-0.0847409,Kisumu,Kisumu Central,Railways,Village/Farm,Chicken,Intensive,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No
34.7886728,-0.1203173,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7873702,-0.119296,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7882807,-0.1227324,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7863346,-0.1164146,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7520892,-0.1073165,Migori,Nyatike,Got Kachola,Village/Farm,Goats,Mixed,Unknown,Unknown,No,No,No,Unknown,Unknown
34.7848057,-0.1144999,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.787025,-0.118816,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
34.7856442,-0.1156949,Kisumu,Kisumu East,Kolwa Central,Village/Farm,Cattle,Mixed,No,No,Unknown,No,Unknown,No,Unknown
